Area,Year,Variable,Variable Value
Nigeria,1993-01-01,Area Code (M49),566
United States of America,1993-01-01,Area Code (M49),840
India,1993-01-01,Area Code (M49),356
Portugal,1994-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Area Code (M49),826
Nigeria,1994-01-01,Area Code (M49),566
United States of America,1994-01-01,Area Code (M49),840
India,1994-01-01,Area Code (M49),356
Portugal,1995-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Area Code (M49),826
Nigeria,1995-01-01,Area Code (M49),566
United States of America,1995-01-01,Area Code (M49),840
India,1995-01-01,Area Code (M49),356
Portugal,1996-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Area Code (M49),826
Nigeria,1996-01-01,Area Code (M49),566
United States of America,1996-01-01,Area Code (M49),840
India,1996-01-01,Area Code (M49),356
Portugal,1997-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Area Code (M49),826
Nigeria,1997-01-01,Area Code (M49),566
United States of America,1997-01-01,Area Code (M49),840
India,1997-01-01,Area Code (M49),356
Portugal,1998-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Area Code (M49),826
Nigeria,1998-01-01,Area Code (M49),566
United States of America,1998-01-01,Area Code (M49),840
India,1998-01-01,Area Code (M49),356
Portugal,1999-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Area Code (M49),826
Nigeria,1999-01-01,Area Code (M49),566
United States of America,1999-01-01,Area Code (M49),840
India,1999-01-01,Area Code (M49),356
Portugal,2000-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Area Code (M49),826
Nigeria,2000-01-01,Area Code (M49),566
United States of America,2000-01-01,Area Code (M49),840
India,2000-01-01,Area Code (M49),356
Portugal,2001-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Area Code (M49),826
Nigeria,2001-01-01,Area Code (M49),566
United States of America,2001-01-01,Area Code (M49),840
India,2001-01-01,Area Code (M49),356
Portugal,2002-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Area Code (M49),826
Nigeria,2002-01-01,Area Code (M49),566
United States of America,2002-01-01,Area Code (M49),840
India,2002-01-01,Area Code (M49),356
Portugal,2003-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Area Code (M49),826
Nigeria,2003-01-01,Area Code (M49),566
United States of America,2003-01-01,Area Code (M49),840
India,2003-01-01,Area Code (M49),356
Portugal,2004-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Area Code (M49),826
Nigeria,2004-01-01,Area Code (M49),566
United States of America,2004-01-01,Area Code (M49),840
India,2004-01-01,Area Code (M49),356
Portugal,2005-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Area Code (M49),826
Nigeria,2005-01-01,Area Code (M49),566
United States of America,2005-01-01,Area Code (M49),840
India,2005-01-01,Area Code (M49),356
Portugal,2006-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Area Code (M49),826
Nigeria,2006-01-01,Area Code (M49),566
United States of America,2006-01-01,Area Code (M49),840
India,2006-01-01,Area Code (M49),356
Portugal,2007-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Area Code (M49),826
Nigeria,2007-01-01,Area Code (M49),566
United States of America,2007-01-01,Area Code (M49),840
India,2007-01-01,Area Code (M49),356
Portugal,2008-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Area Code (M49),826
Nigeria,2008-01-01,Area Code (M49),566
United States of America,2008-01-01,Area Code (M49),840
India,2008-01-01,Area Code (M49),356
Portugal,2009-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Area Code (M49),826
Nigeria,2009-01-01,Area Code (M49),566
United States of America,2009-01-01,Area Code (M49),840
India,2009-01-01,Area Code (M49),356
Portugal,2010-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Area Code (M49),826
Nigeria,2010-01-01,Area Code (M49),566
United States of America,2010-01-01,Area Code (M49),840
India,2010-01-01,Area Code (M49),356
Portugal,2011-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Area Code (M49),826
Nigeria,2011-01-01,Area Code (M49),566
United States of America,2011-01-01,Area Code (M49),840
India,2011-01-01,Area Code (M49),356
Portugal,2012-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Area Code (M49),826
Nigeria,2012-01-01,Area Code (M49),566
United States of America,2012-01-01,Area Code (M49),840
India,2012-01-01,Area Code (M49),356
Portugal,2013-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Area Code (M49),826
Nigeria,2013-01-01,Area Code (M49),566
United States of America,2013-01-01,Area Code (M49),840
India,2013-01-01,Area Code (M49),356
Portugal,2014-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Area Code (M49),826
Nigeria,2014-01-01,Area Code (M49),566
United States of America,2014-01-01,Area Code (M49),840
India,2014-01-01,Area Code (M49),356
Portugal,2015-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Area Code (M49),826
Nigeria,2015-01-01,Area Code (M49),566
United States of America,2015-01-01,Area Code (M49),840
India,2015-01-01,Area Code (M49),356
Portugal,2016-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Area Code (M49),826
Nigeria,2016-01-01,Area Code (M49),566
United States of America,2016-01-01,Area Code (M49),840
India,2016-01-01,Area Code (M49),356
Portugal,2017-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Area Code (M49),826
Nigeria,2017-01-01,Area Code (M49),566
United States of America,2017-01-01,Area Code (M49),840
India,2017-01-01,Area Code (M49),356
Portugal,2018-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Area Code (M49),826
Nigeria,2018-01-01,Area Code (M49),566
United States of America,2018-01-01,Area Code (M49),840
India,2018-01-01,Area Code (M49),356
Portugal,2019-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Area Code (M49),826
Nigeria,2019-01-01,Area Code (M49),566
United States of America,2019-01-01,Area Code (M49),840
India,2019-01-01,Area Code (M49),356
Portugal,2020-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Area Code (M49),826
Nigeria,2020-01-01,Area Code (M49),566
United States of America,2020-01-01,Area Code (M49),840
India,2020-01-01,Area Code (M49),356
Portugal,2021-01-01,Area Code (M49),620
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Area Code (M49),826
Nigeria,2021-01-01,Area Code (M49),566
United States of America,2021-01-01,Area Code (M49),840
India,2021-01-01,Area Code (M49),356
Portugal,1950-01-01,Element Code,511
Nigeria,1950-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Element Code,511
United States of America,1950-01-01,Element Code,511
India,1950-01-01,Element Code,511
Portugal,1951-01-01,Element Code,511
Nigeria,1951-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Element Code,511
United States of America,1951-01-01,Element Code,511
India,1951-01-01,Element Code,511
Portugal,1952-01-01,Element Code,511
Nigeria,1952-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Element Code,511
United States of America,1952-01-01,Element Code,511
India,1952-01-01,Element Code,511
Portugal,1953-01-01,Element Code,511
Nigeria,1953-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Element Code,511
United States of America,1953-01-01,Element Code,511
India,1953-01-01,Element Code,511
Portugal,1954-01-01,Element Code,511
Nigeria,1954-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Element Code,511
United States of America,1954-01-01,Element Code,511
India,1954-01-01,Element Code,511
Portugal,1955-01-01,Element Code,511
Nigeria,1955-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Element Code,511
United States of America,1955-01-01,Element Code,511
India,1955-01-01,Element Code,511
Portugal,1956-01-01,Element Code,511
Nigeria,1956-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Element Code,511
United States of America,1956-01-01,Element Code,511
India,1956-01-01,Element Code,511
Portugal,1957-01-01,Element Code,511
Nigeria,1957-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Element Code,511
United States of America,1957-01-01,Element Code,511
India,1957-01-01,Element Code,511
Portugal,1958-01-01,Element Code,511
Nigeria,1958-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Element Code,511
United States of America,1958-01-01,Element Code,511
India,1958-01-01,Element Code,511
Portugal,1959-01-01,Element Code,511
Nigeria,1959-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Element Code,511
United States of America,1959-01-01,Element Code,511
India,1959-01-01,Element Code,511
Portugal,1960-01-01,Element Code,511
Nigeria,1960-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Element Code,511
United States of America,1960-01-01,Element Code,511
India,1960-01-01,Element Code,511
Portugal,1961-01-01,Element Code,511
Nigeria,1961-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Element Code,511
United States of America,1961-01-01,Element Code,511
India,1961-01-01,Element Code,511
Portugal,1962-01-01,Element Code,511
Nigeria,1962-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Element Code,511
United States of America,1962-01-01,Element Code,511
India,1962-01-01,Element Code,511
Portugal,1963-01-01,Element Code,511
Nigeria,1963-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Element Code,511
United States of America,1963-01-01,Element Code,511
India,1963-01-01,Element Code,511
Portugal,1964-01-01,Element Code,511
Nigeria,1964-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Element Code,511
United States of America,1964-01-01,Element Code,511
India,1964-01-01,Element Code,511
Portugal,1965-01-01,Element Code,511
Nigeria,1965-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Element Code,511
United States of America,1965-01-01,Element Code,511
India,1965-01-01,Element Code,511
Portugal,1966-01-01,Element Code,511
Nigeria,1966-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Element Code,511
United States of America,1966-01-01,Element Code,511
India,1966-01-01,Element Code,511
Portugal,1967-01-01,Element Code,511
Nigeria,1967-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Element Code,511
United States of America,1967-01-01,Element Code,511
India,1967-01-01,Element Code,511
Portugal,1968-01-01,Element Code,511
Nigeria,1968-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Element Code,511
United States of America,1968-01-01,Element Code,511
India,1968-01-01,Element Code,511
Portugal,1969-01-01,Element Code,511
Nigeria,1969-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Element Code,511
United States of America,1969-01-01,Element Code,511
India,1969-01-01,Element Code,511
Portugal,1970-01-01,Element Code,511
Nigeria,1970-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Element Code,511
United States of America,1970-01-01,Element Code,511
India,1970-01-01,Element Code,511
Portugal,1971-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Element Code,511
Nigeria,1971-01-01,Element Code,511
United States of America,1971-01-01,Element Code,511
India,1971-01-01,Element Code,511
Portugal,1972-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Element Code,511
Nigeria,1972-01-01,Element Code,511
United States of America,1972-01-01,Element Code,511
India,1972-01-01,Element Code,511
Portugal,1973-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Element Code,511
Nigeria,1973-01-01,Element Code,511
United States of America,1973-01-01,Element Code,511
India,1973-01-01,Element Code,511
Portugal,1974-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Element Code,511
Nigeria,1974-01-01,Element Code,511
United States of America,1974-01-01,Element Code,511
India,1974-01-01,Element Code,511
Portugal,1975-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Element Code,511
Nigeria,1975-01-01,Element Code,511
United States of America,1975-01-01,Element Code,511
India,1975-01-01,Element Code,511
Portugal,1976-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Element Code,511
Nigeria,1976-01-01,Element Code,511
United States of America,1976-01-01,Element Code,511
India,1976-01-01,Element Code,511
Portugal,1977-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Element Code,511
Nigeria,1977-01-01,Element Code,511
United States of America,1977-01-01,Element Code,511
India,1977-01-01,Element Code,511
Portugal,1978-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Element Code,511
Nigeria,1978-01-01,Element Code,511
United States of America,1978-01-01,Element Code,511
India,1978-01-01,Element Code,511
Portugal,1979-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Element Code,511
Nigeria,1979-01-01,Element Code,511
United States of America,1979-01-01,Element Code,511
India,1979-01-01,Element Code,511
Portugal,1980-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Element Code,511
Nigeria,1980-01-01,Element Code,511
United States of America,1980-01-01,Element Code,511
India,1980-01-01,Element Code,511
Portugal,1981-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Element Code,511
Nigeria,1981-01-01,Element Code,511
United States of America,1981-01-01,Element Code,511
India,1981-01-01,Element Code,511
Portugal,1982-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1982-01-01,Element Code,511
Nigeria,1982-01-01,Element Code,511
United States of America,1982-01-01,Element Code,511
India,1982-01-01,Element Code,511
Portugal,1983-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1983-01-01,Element Code,511
Nigeria,1983-01-01,Element Code,511
United States of America,1983-01-01,Element Code,511
India,1983-01-01,Element Code,511
Portugal,1984-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1984-01-01,Element Code,511
Nigeria,1984-01-01,Element Code,511
United States of America,1984-01-01,Element Code,511
India,1984-01-01,Element Code,511
Portugal,1985-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1985-01-01,Element Code,511
Nigeria,1985-01-01,Element Code,511
United States of America,1985-01-01,Element Code,511
India,1985-01-01,Element Code,511
Portugal,1986-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1986-01-01,Element Code,511
Nigeria,1986-01-01,Element Code,511
United States of America,1986-01-01,Element Code,511
India,1986-01-01,Element Code,511
Portugal,1987-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1987-01-01,Element Code,511
Nigeria,1987-01-01,Element Code,511
United States of America,1987-01-01,Element Code,511
India,1987-01-01,Element Code,511
Portugal,1988-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Element Code,511
Nigeria,1988-01-01,Element Code,511
United States of America,1988-01-01,Element Code,511
India,1988-01-01,Element Code,511
Portugal,1989-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Element Code,511
Nigeria,1989-01-01,Element Code,511
United States of America,1989-01-01,Element Code,511
India,1989-01-01,Element Code,511
Portugal,1990-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Element Code,511
Nigeria,1990-01-01,Element Code,511
United States of America,1990-01-01,Element Code,511
India,1990-01-01,Element Code,511
Portugal,1991-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Element Code,511
Nigeria,1991-01-01,Element Code,511
United States of America,1991-01-01,Element Code,511
India,1991-01-01,Element Code,511
Portugal,1992-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Element Code,511
Nigeria,1992-01-01,Element Code,511
United States of America,1992-01-01,Element Code,511
India,1992-01-01,Element Code,511
Portugal,1993-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Element Code,511
Nigeria,1993-01-01,Element Code,511
United States of America,1993-01-01,Element Code,511
India,1993-01-01,Element Code,511
Portugal,1994-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Element Code,511
Nigeria,1994-01-01,Element Code,511
United States of America,1994-01-01,Element Code,511
India,1994-01-01,Element Code,511
Portugal,1995-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Element Code,511
Nigeria,1995-01-01,Element Code,511
United States of America,1995-01-01,Element Code,511
India,1995-01-01,Element Code,511
Portugal,1996-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Element Code,511
Nigeria,1996-01-01,Element Code,511
United States of America,1996-01-01,Element Code,511
India,1996-01-01,Element Code,511
Portugal,1997-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Element Code,511
Nigeria,1997-01-01,Element Code,511
United States of America,1997-01-01,Element Code,511
India,1997-01-01,Element Code,511
Portugal,1998-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Element Code,511
Nigeria,1998-01-01,Element Code,511
United States of America,1998-01-01,Element Code,511
India,1998-01-01,Element Code,511
Portugal,1999-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Element Code,511
Nigeria,1999-01-01,Element Code,511
United States of America,1999-01-01,Element Code,511
India,1999-01-01,Element Code,511
Portugal,2000-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Element Code,511
Nigeria,2000-01-01,Element Code,511
United States of America,2000-01-01,Element Code,511
India,2000-01-01,Element Code,511
Portugal,2001-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Element Code,511
Nigeria,2001-01-01,Element Code,511
United States of America,2001-01-01,Element Code,511
India,2001-01-01,Element Code,511
Portugal,2002-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Element Code,511
Nigeria,2002-01-01,Element Code,511
United States of America,2002-01-01,Element Code,511
India,2002-01-01,Element Code,511
Portugal,2003-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Element Code,511
Nigeria,2003-01-01,Element Code,511
United States of America,2003-01-01,Element Code,511
India,2003-01-01,Element Code,511
Portugal,2004-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Element Code,511
Nigeria,2004-01-01,Element Code,511
United States of America,2004-01-01,Element Code,511
India,2004-01-01,Element Code,511
Portugal,2005-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Element Code,511
Nigeria,2005-01-01,Element Code,511
United States of America,2005-01-01,Element Code,511
India,2005-01-01,Element Code,511
Portugal,2006-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Element Code,511
Nigeria,2006-01-01,Element Code,511
United States of America,2006-01-01,Element Code,511
India,2006-01-01,Element Code,511
Portugal,2007-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Element Code,511
Nigeria,2007-01-01,Element Code,511
United States of America,2007-01-01,Element Code,511
India,2007-01-01,Element Code,511
Portugal,2008-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Element Code,511
Nigeria,2008-01-01,Element Code,511
United States of America,2008-01-01,Element Code,511
India,2008-01-01,Element Code,511
Portugal,2009-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Element Code,511
Nigeria,2009-01-01,Element Code,511
United States of America,2009-01-01,Element Code,511
India,2009-01-01,Element Code,511
Portugal,2010-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Element Code,511
Nigeria,2010-01-01,Element Code,511
United States of America,2010-01-01,Element Code,511
India,2010-01-01,Element Code,511
Portugal,2011-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Element Code,511
Nigeria,2011-01-01,Element Code,511
United States of America,2011-01-01,Element Code,511
India,2011-01-01,Element Code,511
Portugal,2012-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Element Code,511
Nigeria,2012-01-01,Element Code,511
United States of America,2012-01-01,Element Code,511
India,2012-01-01,Element Code,511
Portugal,2013-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Element Code,511
Nigeria,2013-01-01,Element Code,511
United States of America,2013-01-01,Element Code,511
India,2013-01-01,Element Code,511
Portugal,2014-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Element Code,511
Nigeria,2014-01-01,Element Code,511
United States of America,2014-01-01,Element Code,511
India,2014-01-01,Element Code,511
Portugal,2015-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Element Code,511
Nigeria,2015-01-01,Element Code,511
United States of America,2015-01-01,Element Code,511
India,2015-01-01,Element Code,511
Portugal,2016-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Element Code,511
Nigeria,2016-01-01,Element Code,511
United States of America,2016-01-01,Element Code,511
India,2016-01-01,Element Code,511
Portugal,2017-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Element Code,511
Nigeria,2017-01-01,Element Code,511
United States of America,2017-01-01,Element Code,511
India,2017-01-01,Element Code,511
Portugal,2018-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Element Code,511
Nigeria,2018-01-01,Element Code,511
United States of America,2018-01-01,Element Code,511
India,2018-01-01,Element Code,511
Portugal,2019-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Element Code,511
Nigeria,2019-01-01,Element Code,511
United States of America,2019-01-01,Element Code,511
India,2019-01-01,Element Code,511
Portugal,2020-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Element Code,511
Nigeria,2020-01-01,Element Code,511
United States of America,2020-01-01,Element Code,511
India,2020-01-01,Element Code,511
Portugal,2021-01-01,Element Code,511
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Element Code,511
Nigeria,2021-01-01,Element Code,511
United States of America,2021-01-01,Element Code,511
India,2021-01-01,Element Code,511
Portugal,1950-01-01,Element,Total Population - Both sexes
Nigeria,1950-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Element,Total Population - Both sexes
United States of America,1950-01-01,Element,Total Population - Both sexes
India,1950-01-01,Element,Total Population - Both sexes
Portugal,1951-01-01,Element,Total Population - Both sexes
Nigeria,1951-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Element,Total Population - Both sexes
United States of America,1951-01-01,Element,Total Population - Both sexes
India,1951-01-01,Element,Total Population - Both sexes
Portugal,1952-01-01,Element,Total Population - Both sexes
Nigeria,1952-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Element,Total Population - Both sexes
United States of America,1952-01-01,Element,Total Population - Both sexes
India,1952-01-01,Element,Total Population - Both sexes
Portugal,1953-01-01,Element,Total Population - Both sexes
Nigeria,1953-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Element,Total Population - Both sexes
United States of America,1953-01-01,Element,Total Population - Both sexes
India,1953-01-01,Element,Total Population - Both sexes
Portugal,1954-01-01,Element,Total Population - Both sexes
Nigeria,1954-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Element,Total Population - Both sexes
United States of America,1954-01-01,Element,Total Population - Both sexes
India,1954-01-01,Element,Total Population - Both sexes
Portugal,1955-01-01,Element,Total Population - Both sexes
Nigeria,1955-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Element,Total Population - Both sexes
United States of America,1955-01-01,Element,Total Population - Both sexes
India,1955-01-01,Element,Total Population - Both sexes
Portugal,1956-01-01,Element,Total Population - Both sexes
Nigeria,1956-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Element,Total Population - Both sexes
United States of America,1956-01-01,Element,Total Population - Both sexes
India,1956-01-01,Element,Total Population - Both sexes
Portugal,1957-01-01,Element,Total Population - Both sexes
Nigeria,1957-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Element,Total Population - Both sexes
United States of America,1957-01-01,Element,Total Population - Both sexes
India,1957-01-01,Element,Total Population - Both sexes
Portugal,1958-01-01,Element,Total Population - Both sexes
Nigeria,1958-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Element,Total Population - Both sexes
United States of America,1958-01-01,Element,Total Population - Both sexes
India,1958-01-01,Element,Total Population - Both sexes
Portugal,1959-01-01,Element,Total Population - Both sexes
Nigeria,1959-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Element,Total Population - Both sexes
United States of America,1959-01-01,Element,Total Population - Both sexes
India,1959-01-01,Element,Total Population - Both sexes
Portugal,1960-01-01,Element,Total Population - Both sexes
Nigeria,1960-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Element,Total Population - Both sexes
United States of America,1960-01-01,Element,Total Population - Both sexes
India,1960-01-01,Element,Total Population - Both sexes
Portugal,1961-01-01,Element,Total Population - Both sexes
Nigeria,1961-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Element,Total Population - Both sexes
United States of America,1961-01-01,Element,Total Population - Both sexes
India,1961-01-01,Element,Total Population - Both sexes
Portugal,1962-01-01,Element,Total Population - Both sexes
Nigeria,1962-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Element,Total Population - Both sexes
United States of America,1962-01-01,Element,Total Population - Both sexes
India,1962-01-01,Element,Total Population - Both sexes
Portugal,1963-01-01,Element,Total Population - Both sexes
Nigeria,1963-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Element,Total Population - Both sexes
United States of America,1963-01-01,Element,Total Population - Both sexes
India,1963-01-01,Element,Total Population - Both sexes
Portugal,1964-01-01,Element,Total Population - Both sexes
Nigeria,1964-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Element,Total Population - Both sexes
United States of America,1964-01-01,Element,Total Population - Both sexes
India,1964-01-01,Element,Total Population - Both sexes
Portugal,1965-01-01,Element,Total Population - Both sexes
Nigeria,1965-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Element,Total Population - Both sexes
United States of America,1965-01-01,Element,Total Population - Both sexes
India,1965-01-01,Element,Total Population - Both sexes
Portugal,1966-01-01,Element,Total Population - Both sexes
Nigeria,1966-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Element,Total Population - Both sexes
United States of America,1966-01-01,Element,Total Population - Both sexes
India,1966-01-01,Element,Total Population - Both sexes
Portugal,1967-01-01,Element,Total Population - Both sexes
Nigeria,1967-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Element,Total Population - Both sexes
United States of America,1967-01-01,Element,Total Population - Both sexes
India,1967-01-01,Element,Total Population - Both sexes
